Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
flip_h_uru_train (79).jpg,Uru,225.03598671259857,281.66662533325047,150.28438730314946,343.62217124434267,0.37078352594679287,0.3323844174559889,0.4158464637656337,0.2996265867286886,9.474224901574813,10.880587761175544,7.5882750984252025,12.090396180792366,7.158082672198081,6.9901119846971485,6.966428247494125,7.103198111524979,0.00548643956174631,0.004738019954060866,0.006621442197962526,0.004389698344775826,0.07407050399279264,0.06883327650243642,0.08137224464129354,0.06625479865470746,0.9795189176389495,0.9742797573934873,0.9863565432919825,0.9686226408148065
flip_v_uru_train (79).jpg,Uru,225.03598671259857,281.66662533325047,150.28438730314946,343.62217124434267,0.37078352594679287,0.3323844174559889,0.4158464637656337,0.2996265867286886,9.474224901574813,10.880587761175544,7.5882750984252025,12.090396180792366,7.158082672198081,6.9901119846971485,6.966428247494125,7.103198111524979,0.00548643956174631,0.004738019954060866,0.006621442197962526,0.004389698344775826,0.07407050399279264,0.06883327650243642,0.08137224464129354,0.06625479865470746,0.9795189176389495,0.9742797573934873,0.9863565432919825,0.9686226408148065
blur_uru_train (79).jpg,Uru,105.74101870078727,167.08841217682433,68.79632135826775,138.32550065100153,0.4324813562728183,0.3778663052549722,0.49088708864109704,0.4098775001043581,6.655142716535432,8.44113088226177,5.206754429133862,7.669043338086684,6.848490378196248,6.769024632098102,6.635907505017938,6.6621805830447896,0.007350944572494613,0.006208619150451771,0.009012577412361862,0.006577292899145305,0.08573764967909146,0.07879479139163814,0.09493459544529519,0.08110051109053078,0.9903792607231978,0.9847473992554094,0.9937550741758301,0.9873727160037411
uru_train (8).jpg,Uru,498.4247662401576,667.8890817781627,389.83218503937024,798.6711513423031,0.29604300852304394,0.243962155100395,0.3246981125235666,0.23919596142259403,13.791892224409457,16.54119908239816,12.094242125984247,17.88275776551552,7.664069947153,7.592195263506956,7.569237629492675,7.6319312655128275,0.0033973884476089285,0.0027655268900965155,0.003831758273868099,0.0026174131336420795,0.05828712076959136,0.05258827711663994,0.06190119767717018,0.051160660019609595,0.9548824324039324,0.939597678676855,0.9648180629456169,0.9277641915455673
flip_h_uru_train (8).jpg,Uru,498.4247662401576,798.6711513423031,389.83218503937024,667.8890817781627,0.29604300852304394,0.23919596142259403,0.3246981125235666,0.243962155100395,13.791892224409457,17.88275776551552,12.094242125984247,16.54119908239816,7.664069947153,7.6319312655128275,7.569237629492675,7.592195263506956,0.0033973884476089285,0.0026174131336420795,0.003831758273868099,0.0027655268900965155,0.05828712076959136,0.051160660019609595,0.06190119767717018,0.05258827711663994,0.9548824324039324,0.9277641915455673,0.9648180629456169,0.939597678676855
flip_v_uru_train (8).jpg,Uru,498.4247662401576,798.6711513423031,389.83218503937024,667.8890817781627,0.29604300852304394,0.23919596142259403,0.3246981125235666,0.243962155100395,13.791892224409457,17.88275776551552,12.094242125984247,16.54119908239816,7.664069947153,7.6319312655128275,7.569237629492675,7.592195263506956,0.0033973884476089285,0.0026174131336420795,0.003831758273868099,0.0027655268900965155,0.05828712076959136,0.051160660019609595,0.06190119767717018,0.05258827711663994,0.9548824324039324,0.9277641915455673,0.9648180629456169,0.939597678676855
blur_uru_train (8).jpg,Uru,211.96241387795308,312.79006758013463,184.06034694881885,381.12232624465213,0.3638664293243744,0.31661992566225483,0.3837266199809564,0.31651123522931024,9.127399114173251,11.316200632401253,8.45060285433071,12.246264492528972,7.233596021466397,7.151400791010148,7.149100813966589,7.181026174411423,0.005320311849119803,0.00441291619764713,0.005640359486285383,0.004178204462801147,0.07294046784275382,0.06642978396507947,0.07510232677011666,0.06463903203793468,0.9808626599771941,0.9717924383030304,0.9834379822897443,0.9656276973393589
uru_train (80).jpg,Uru,150.17525836614195,342.6308512617026,224.5057824803149,281.57740715481486,0.41530740761338303,0.2983740935817867,0.3674593240034852,0.3326534564706316,7.569697342519698,12.070246140492303,9.4597687007874,10.838489676979362,6.966376454205297,7.1024251555511615,7.157832019438689,6.990248198711319,0.006646813281419544,0.004398977797893608,0.00549624439092628,0.004771799239177886,0.0815279907848804,0.06632479022125594,0.07413666023585282,0.06907821103052601,0.9863659125763105,0.9687103567475566,0.9795644202073702,0.9742856004485413
flip_h_uru_train (80).jpg,Uru,150.17525836614195,281.57740715481486,224.5057824803149,342.6308512617026,0.41530740761338303,0.3326534564706316,0.3674593240034852,0.2983740935817867,7.569697342519698,10.838489676979362,9.4597687007874,12.070246140492303,6.966376454205297,6.990248198711319,7.157832019438689,7.1024251555511615,0.006646813281419544,0.004771799239177886,0.00549624439092628,0.004398977797893608,0.0815279907848804,0.06907821103052601,0.07413666023585282,0.06632479022125594,0.9863659125763105,0.9742856004485413,0.9795644202073702,0.9687103567475566
flip_v_uru_train (80).jpg,Uru,150.17525836614195,281.57740715481486,224.5057824803149,342.6308512617026,0.41530740761338303,0.3326534564706316,0.3674593240034852,0.2983740935817867,7.569697342519698,10.838489676979362,9.4597687007874,12.070246140492303,6.966376454205297,6.990248198711319,7.157832019438689,7.1024251555511615,0.006646813281419544,0.004771799239177886,0.00549624439092628,0.004398977797893608,0.0815279907848804,0.06907821103052601,0.07413666023585282,0.06632479022125594,0.9863659125763105,0.9742856004485413,0.9795644202073702,0.9687103567475566
